Name_in_AllTrails,n
Allegheny National Forest,52
Angeles National Forest,287
Angelina National Forest,2
Apache-Sitgreaves National Forests,77
Apalachicola National Forest,12
Arapaho National Forest,150
Ashley National Forest,30
Beaverhead National Forest,7
Beaverhead-Deerlodge National Forest,18
Bienville National Forest,2
Bighorn National Forest,54
Bitterroot National Forest,51
Black Hills National Forest (SD),70
Black Hills National Forest (WY),11
Black Kettle National Grassland (OK),3
Black Kettle National Grassland (TX),?
Boise National Forest,96
Bridger-Teton National Forest,68
Bridger-Teton National Forest - Jackson Ranger District,71
Buffalo Gap National Grassland,1
Butte Valley National Grassland,1
Caddo National Grassland,2
Caribou-Targhee National Forest,124
Carson National Forest,76
Cedar River National Grassland,?
Chattahoochee-Oconee National Forests,127
Chequamegon National Forest,17
Cherokee National Forest (NC),21
Cherokee National Forest (TN),106
Chippewa National Forest,14
Chugach National Forest,60
Cibola National Forest,116
Cibola National Forest - Mt. Taylor Ranger District (East),6
Cibola National Forest - Mt. Taylor Ranger District (West),3
Cibola National Forest-Mountainair Ranger District (East),1
Cimarron National Grassland,1
Clearwater National Forests,18
Cleveland National Forest,177
Coconino National Forest,338
Columbia River Gorge National Scenic Area,68
Colville National Forest,29
Comanche National Grassland,10
Conecuh National Forest,6
Coronado National Forest,134
Croatan National Forest,16
Crooked River National Grassland,10
Curlew National Grassland,?
Custer Gallatin National Forest,148
Custer National Forest,51
Daniel Boone National Forest,77
Davvy Crockett National Forest,2
De Soto National Forest,8
Delta National Forest,1
Deschutes National Forest,214
Dixie National Forest,85
El Yunque National Forest,12
Eldorado National Forest,124
Finger Lakes National Forest,13
Fishlake National Forest,35
Flathead National Forest,57
Fort Pierre National Grassland,?
Francis Marion National Forest,11
Fremont National Forest,5
George Washington and Jefferson National Forests,154
George Washington National Forest - Lee District,49
Giant Sequoia National Monument,35
Gifford Pinchot National Forest,164
Gila National Forest,43
Grand Mesa National Forest,41
Grand River National Grassland,1
Green Mountain National Forest,154
Gunnison National Forest,109
Helena National Forest,35
Hells Canyon National Recreational Area,4
Hiawatha National Forest,29
Holly Springs National Forest,1
Homochitto National Forest,5
Hoosier National Forest,22
Humboldt National Forest,20
Humboldt-Toiyabe National Forest (CA),48
Humboldt-Toiyabe National Forest (NV),123
Huron National Forest,28
Idaho Panhandle National Forests,82
Inyo National Forest,175
Jefferson National Forest (KY),16
Jefferson National Forest (VA),131
Kaibab National Forest,41
Kiowa National Grassland,3
Kisatchie National Forest,21
Klamath National Forest,22
Kootenai National Forest,37
Lake Tahoe Basin Management Unit,152
Land Between the Lakes National Recreational Area (KY),28
Land Between the Lakes National Recreational Area (TN),12
Lassen National Forest,31
Lewis and Clark National Forest,43
Lincoln National Forest,86
Little Missouri National Grassland,1
Lolo National Forest,61
Los Padres National Forest,219
Lyndon B. Johnson National Grassland,6
Malheur National Forest,5
Manistee National Forest,38
Manti-La Sal National Forest,15
"Manti-La Sal National Forest, Moab Ranger District",21
Mark Twain National Forest,69
McClellan Creek National Grassland,2
Medicine Bow National Forest (WY),43
Medicine Bow-Routt National Forest,36
Mendocino National Forest,7
Midewin National Tallgrass Prairie,6
Modoc National Forest,4
Monongahela National Forest,33
Mount St. Helens National Volcanic Monument,42
Mt. Baker-Snoqualmie National Forest,372
Mt. Hood National Forest,161
Nantahala National Forest,128
Nantahala National Forest : Panthertown Valley Backcountry Area,20
National Forest: North Zone,17
Nebraska National Forest,5
Nez Perce National Forest,13
Nez Perce National Forest -- 2,14
Nicolet National Forest,4
Ocala National Forest,23
Ochoco National Forest,6
Oglala National Grassland,3
Okanogan-Wenatchee National Forest,260
"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",130
Olympic National Forest,59
Osceola National Forest,?
Ottawa National Forest,29
Ouachita National Forest (AR),38
Ouachita National Forest (OK),11
Ozark-St. Francis National Forest,110
Pawnee National Grassland,4
Payette National Forest,73
Pike National Forest,272
Pisgah National Forest,299
Plumas National Forest,55
Prescott National Forest,96
Rio Grande National Forest,2
"Rio Grande National Forest, Conejos Peak Ranger District",15
"Rio Grande National Forest, Divide Ranger District",59
"Rio Grande National Forest, Saguache Ranger District",8
Rita Blanca National Grassland,?
Rogue River-Siskiyou National Forest,80
Roosevelt National Forest,163
Routt National Forest,34
Sabine National Forest,1
Salmon National Forest,7
Salmon-Challis National Forest,36
Sam Houston National Forest,16
Samuel R. McKelvie National Forest,1
San Bernardino National Forest,232
San Isabel National Forest - Leadville Ranger District,61
"San Isabel National Forest, Salida Ranger District",108
San Isabel National Forests,67
San Juan National Forest,179
Santa Fe National Forest,148
Savannah River Site,?
Sawtooth National Forest (ID),94
Sawtooth National Forest (UT),1
Sawtooth National Recreational Area,18
Sequoia National Forest,77
Shasta-Trinity National Forest,78
Shawnee National Forest,38
Sheyenne National Grassland,4
Shoshone National Forest,55
Sierra National Forest,125
Siuslaw National Forest,37
Six Rivers National Forest,10
Stanislaus National Forest,107
Sumter National Forest,75
Superior National Forest,32
Tahoe National Forest,131
Talladega National Forest,29
Talladega National Forest (Shoal Creek District),6
Thunder Basin National Grassland,?
Tombigbee National Forest,8
Tongass National Forest,63
Tonto National Forest,234
Tuskegee National Forest,3
Uinta-Wasatch-Cache National Forest,411
"Uinta-Wasatch-Cache National Forest, Salt Lake Ranger District",245
Umatilla National Forest,28
Umpqua National Forest,66
Uncompahgre National Forest,91
Uwharrie National Forest,25
Wallowa-Whitman National Forest,41
Wayne National Forest,10
Wayne National Forest - Athens Unit,1
White Mountain National Forest,324
"White Mountain National Forest, Pemigewasset Ranger District",248
White River National Forest,309
Willamette National Forest,190
William B. Bankhead National Forest,17
Winema National Forest,23
